Sale Price,No of Bedrooms,No of Bathrooms,Flat Area (in Sqft),No of Floors,Condition of the House,Age of House (in Years)
221900,3,1,1180,1,Fair,63
180000,2,1,770,1,Bad,85
604000,4,3,1960,1,Excellent,53
510000,3,2,1680,1,Fair,31
229500,3,1,1780,1,Bad,58
468000,2,1,1160,1,Good,76
310000,3,1,1430,2,Good,91
530000,5,2,1810,2,Fair,118
650000,4,3,2950,2,Fair,39
395000,3,2,1890,2,Bad,24
485000,4,1,1600,2,Good,102
189000,2,1,1200,1,Good,97
230000,3,1,1250,1,Good,49
550000,4,1,1660,1,Bad,85
640000,4,2,2360,2,Good,114
240000,4,1,1220,1,Bad,49
685000,3,1,1570,2,Fair,96
309000,3,1,1280,1,Good,59
210490,2,1,990,1,Fair,52
228000,3,1,1190,1,Fair,63
292500,4,2,2250,2,Fair,10
301000,3,3,2420,2,Fair,15
951000,5,3,3250,2,Good,50
430000,4,3,1850,2,Fair,27
650000,3,2,2150,1,Good,59
289000,3,2,1260,1,Bad,64
505000,3,2,2519,2,Excellent,45
549000,3,2,1540,3,Fair,4
425000,3,2,1660,1,Fair,39
317625,3,3,2770,2,Excellent,93
975000,4,3,2720,2,Fair,29
287000,4,3,2240,2,Fair,13
204000,3,1,1000,1,Good,50
1.33E+06,5,2,3200,1,Bad,53
1.04E+06,5,3,4770,1,Good,45
325000,3,2,1260,1,Good,46
571000,4,2,2750,2,Excellent,102
360000,4,3,2380,2,Bad,13
349000,3,2,1790,1,Excellent,53
832500,4,4,3430,2,Good,32
380000,4,2,1760,1,Fair,62
480000,3,1,1040,1,Fair,77
410000,3,1,1410,1,Good,62
720000,4,2,3450,2,Fair,16
390000,3,3,2350,2,Fair,15
360000,4,2,1900,2,Fair,26
355000,2,1,2020,1,Bad,70
356000,3,2,1680,1,Fair,54
315000,2,1,960,1,Fair,66
940000,3,2,2140,2,Fair,93
305000,5,2,2660,2,Excellent,57
461000,3,3,2770,2,Fair,12
215000,2,2,1610,2,Good,39
335000,2,2,1030,2,Fair,12
,4,3,1980,2,Fair,30
1.10E+06,5,3,3520,2,Good,17
153000,3,1,1200,1,Fair,56
430000,3,2,1580,1,Bad,79
700000,3,2,1580,1,Fair,79
905000,4,3,3300,1,Fair,72
247500,3,2,1960,1,Fair,51
199000,4,2,1160,1,Good,43
314000,3,2,1810,1,Excellent,38
437500,3,3,2320,2,Fair,26
850830,3,2,2070,2,Excellent,108
555000,3,2,1980,2,Good,89
699950,3,2,2190,2,Good,35
1.09E+06,3,3,2920,2,Fair,68
290000,3,1,1210,1,Fair,64
375000,3,3,2340,1,Good,40
460000,3,1,1670,2,Good,79
188500,2,2,1240,1,Good,33
680000,4,2,3140,2,Good,27
470000,5,2,2030,2,Good,76
597750,4,2,2310,2,Fair,34
570000,3,3,1260,1,Excellent,113
272500,3,2,1540,1,Good,38
329950,3,2,2080,1,Fair,47
480000,4,3,3230,2,Fair,17
740500,3,4,4380,2,Fair,118
518500,3,4,1590,3,Fair,8
205425,2,1,880,1,Good,73
171800,4,2,1570,1,Fair,68
535000,4,1,1610,2,Good,93
660000,3,3,2400,1,Fair,54
391500,3,2,1450,1,Fair,31
395000,2,1,770,1,Fair,65
445000,4,2,2100,1,Excellent,94
770000,3,2,2910,2,Fair,28
1.45E+06,4,3,2750,2,Fair,104
445000,3,2,2100,1,Fair,51
260000,4,2,2160,1,Fair,40
822500,5,3,2320,2,Excellent,92
430000,4,3,2070,2,Fair,14
212000,3,2,1060,1,Good,32
660500,4,2,2010,1,Fair,32
784000,3,4,3950,2,Fair,29
453246,3,3,2010,2,Fair,4
675000,4,4,2140,3,Fair,13
199000,3,2,1320,1,Good,62
220000,4,2,2020,1,Fair,50
452000,4,2,2590,1,Good,50
382500,2,1,1190,1,Fair,37
519950,3,2,1170,3,Fair,4
665000,2,1,1110,1,Fair,93
527700,5,3,2820,1,Good,50
205000,3,1,1610,1,Good,56
420000,3,1,1060,1,Good,95
500000,4,2,2030,1,Good,57
921500,4,3,3670,2,Good,24
